epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4999,1.63934,2.16533,1.43663,0.53679,0.54146,0.4824,0.25528,1.5937,1.60208,1.34632,0.000655556,0.000655556,0.000655556
2,94.2397,1.63469,1.47807,1.4279,0.51224,0.46154,0.40331,0.14876,2.11608,1.84992,1.8755,0.00125677,0.00125677,0.00125677
3,138.982,1.65289,1.42138,1.4407,0.46216,0.53561,0.47558,0.24532,1.66683,1.51508,1.52993,0.00179199,0.00179199,0.00179199
4,183.262,1.60967,1.41857,1.42505,0.58055,0.55995,0.56137,0.28676,1.82293,1.58365,1.54932,0.001703,0.001703,0.001703
5,221.763,1.54952,1.33291,1.39166,0.67743,0.49288,0.57927,0.30126,1.70576,1.39897,1.50893,0.001604,0.001604,0.001604
6,279.119,1.4872,1.27005,1.37391,0.59726,0.66952,0.6469,0.37485,1.42908,1.30315,1.31197,0.001505,0.001505,0.001505
7,377.997,1.45013,1.21337,1.35015,0.71841,0.56125,0.63289,0.34953,1.5706,1.33765,1.40473,0.001406,0.001406,0.001406
8,417.433,1.442,1.16182,1.32339,0.74515,0.64387,0.71144,0.44127,1.38731,1.15646,1.28858,0.001307,0.001307,0.001307
9,458.453,1.42739,1.16617,1.31545,0.83229,0.65242,0.75965,0.48813,1.29225,1.00572,1.2491,0.001208,0.001208,0.001208
10,496.884,1.37559,1.08129,1.27779,0.78569,0.71026,0.79869,0.50662,1.29279,0.94984,1.20445,0.001109,0.001109,0.001109
11,538.346,1.26052,1.08018,1.24169,0.74536,0.68661,0.73917,0.46389,1.30252,1.08607,1.23592,0.00101,0.00101,0.00101
12,576.604,1.2461,0.99108,1.2404,0.78257,0.71225,0.78119,0.47043,1.30816,0.99091,1.22383,0.000911,0.000911,0.000911
13,614.843,1.16444,0.8785,1.18457,0.87414,0.71231,0.83565,0.52647,1.1986,0.86719,1.15381,0.000812,0.000812,0.000812
14,653.383,1.14441,0.87235,1.17354,0.7765,0.71795,0.79997,0.49113,1.25248,0.9705,1.20664,0.000713,0.000713,0.000713
15,698.493,1.0958,0.82397,1.15304,0.85077,0.74929,0.83966,0.57252,1.07639,0.80029,1.09567,0.000614,0.000614,0.000614
16,744.355,1.06566,0.78375,1.14401,0.83556,0.79202,0.83762,0.53309,1.15007,0.85728,1.12442,0.000515,0.000515,0.000515
17,791.895,1.03787,0.75272,1.12693,0.83576,0.82637,0.88363,0.60109,1.07585,0.71997,1.08565,0.000416,0.000416,0.000416
18,872.573,1.00605,0.71736,1.11569,0.87579,0.80351,0.87273,0.60193,1.06043,0.71653,1.09041,0.000317,0.000317,0.000317
19,917.11,0.99969,0.70328,1.11094,0.89581,0.83476,0.88773,0.61654,1.03326,0.68352,1.0705,0.000218,0.000218,0.000218
20,966.352,0.97121,0.68012,1.08428,0.89834,0.82336,0.89062,0.61916,1.03091,0.67606,1.0694,0.000119,0.000119,0.000119
