epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4757,1.65519,2.73335,1.4748,0.85353,0.2973,0.50569,0.28825,1.40836,2.29992,1.315,0.00048,0.00048,0.00048
2,54.1289,1.65002,1.60743,1.37865,0.5343,0.48403,0.47462,0.24949,1.75638,1.84018,1.4374,0.000960596,0.000960596,0.000960596
3,77.0365,1.66837,1.4897,1.41808,0.57304,0.57002,0.54813,0.28221,1.63391,1.57729,1.5463,0.00142139,0.00142139,0.00142139
4,97.7928,1.65279,1.46349,1.43037,0.47654,0.45209,0.42634,0.21279,1.87707,2.27636,1.835,0.00186239,0.00186239,0.00186239
5,116.822,1.60955,1.40843,1.40191,0.5041,0.34889,0.38379,0.18646,1.9033,2.09513,1.83634,0.0018416,0.0018416,0.0018416
6,142.545,1.65472,1.37309,1.41732,0.56589,0.4914,0.50172,0.24226,1.74525,1.5596,1.55981,0.001802,0.001802,0.001802
7,164.594,1.50773,1.33216,1.38336,0.44728,0.37838,0.36265,0.17252,1.82284,3.50971,1.85669,0.0017624,0.0017624,0.0017624
8,189.172,1.55609,1.35072,1.39415,0.51614,0.56511,0.53494,0.26551,1.74193,1.46358,1.58489,0.0017228,0.0017228,0.0017228
9,210.04,1.51468,1.2916,1.34612,0.63252,0.62162,0.62657,0.3261,1.56343,1.50951,1.42732,0.0016832,0.0016832,0.0016832
10,231.163,1.48965,1.24035,1.34513,0.67852,0.65848,0.68506,0.36652,1.57694,1.26682,1.47498,0.0016436,0.0016436,0.0016436
11,251.97,1.49653,1.24105,1.34039,0.74893,0.59951,0.67345,0.36851,1.56684,1.31367,1.47706,0.001604,0.001604,0.001604
12,271.41,1.43795,1.20119,1.30596,0.80885,0.57184,0.71981,0.40719,1.48777,1.20213,1.43333,0.0015644,0.0015644,0.0015644
13,292.223,1.46465,1.18613,1.32264,0.73508,0.66811,0.71158,0.43158,1.34058,1.26222,1.30724,0.0015248,0.0015248,0.0015248
14,318.112,1.42322,1.20471,1.30874,0.75844,0.66342,0.7198,0.41713,1.39917,1.15089,1.31835,0.0014852,0.0014852,0.0014852
15,338.172,1.3998,1.14643,1.28724,0.72704,0.5602,0.65024,0.36219,1.5962,1.43497,1.40558,0.0014456,0.0014456,0.0014456
16,356.968,1.39721,1.08349,1.27296,0.75376,0.68059,0.7345,0.42365,1.40856,1.28332,1.36965,0.001406,0.001406,0.001406
17,377.489,1.31966,1.1064,1.25025,0.80878,0.62899,0.74145,0.43349,1.41497,1.12783,1.33518,0.0013664,0.0013664,0.0013664
18,398.426,1.35767,1.08846,1.25331,0.7486,0.72433,0.77265,0.47817,1.33767,1.08825,1.27824,0.0013268,0.0013268,0.0013268
19,418.895,1.31899,1.03589,1.2219,0.77205,0.70734,0.79032,0.48179,1.35721,1.02727,1.30449,0.0012872,0.0012872,0.0012872
20,438.86,1.38886,1.07499,1.23801,0.82496,0.7199,0.79936,0.48789,1.31883,0.97654,1.25782,0.0012476,0.0012476,0.0012476
21,460.021,1.32427,0.99263,1.23679,0.80206,0.73464,0.80219,0.50101,1.29269,0.94994,1.26041,0.001208,0.001208,0.001208
22,480.48,1.2612,0.9537,1.19472,0.77855,0.70516,0.77561,0.46445,1.32674,1.00917,1.27123,0.0011684,0.0011684,0.0011684
23,500.168,1.3031,0.99099,1.22612,0.81946,0.78624,0.81873,0.50964,1.27501,0.91198,1.25725,0.0011288,0.0011288,0.0011288
24,522.013,1.26354,0.96724,1.20529,0.85689,0.73558,0.79341,0.45424,1.3704,0.9644,1.30222,0.0010892,0.0010892,0.0010892
25,543.402,1.24217,0.95219,1.21421,0.82446,0.76161,0.83501,0.50593,1.2827,0.86454,1.23855,0.0010496,0.0010496,0.0010496
26,563.145,1.28193,0.96744,1.21037,0.82225,0.78423,0.81897,0.49279,1.28572,0.95298,1.24284,0.00101,0.00101,0.00101
27,583.849,1.22995,0.98611,1.20811,0.8703,0.74192,0.83773,0.51336,1.24539,0.87954,1.23016,0.0009704,0.0009704,0.0009704
28,604.24,1.19658,0.92056,1.17468,0.86287,0.77641,0.83878,0.52127,1.26246,0.88848,1.23483,0.0009308,0.0009308,0.0009308
29,624,1.24096,0.9422,1.19493,0.77313,0.76196,0.80845,0.51054,1.20973,0.93867,1.21166,0.0008912,0.0008912,0.0008912
30,647.685,1.23457,0.93566,1.19817,0.84336,0.76729,0.83298,0.52419,1.19109,0.87005,1.17911,0.0008516,0.0008516,0.0008516
31,673.778,1.19565,0.89343,1.16566,0.81845,0.78624,0.82929,0.54016,1.19213,0.842,1.19123,0.000812,0.000812,0.000812
32,697.525,1.16643,0.88426,1.17533,0.84083,0.76576,0.83039,0.53601,1.18211,0.82765,1.20191,0.0007724,0.0007724,0.0007724
33,721.969,1.25614,0.92019,1.18861,0.83371,0.79361,0.84162,0.54441,1.19756,0.79785,1.19108,0.0007328,0.0007328,0.0007328
34,745.962,1.16682,0.86,1.15348,0.85324,0.78567,0.8586,0.55695,1.15241,0.78571,1.17107,0.0006932,0.0006932,0.0006932
35,772.024,1.15199,0.84199,1.14146,0.86122,0.76413,0.85596,0.56668,1.16061,0.76039,1.19203,0.0006536,0.0006536,0.0006536
36,795.099,1.15214,0.84285,1.15504,0.85115,0.82555,0.84056,0.54812,1.11367,0.76379,1.165,0.000614,0.000614,0.000614
37,815.933,1.14606,0.82839,1.13458,0.90239,0.79853,0.8637,0.57251,1.09449,0.72277,1.14491,0.0005744,0.0005744,0.0005744
38,835.832,1.15591,0.82432,1.15637,0.87788,0.78624,0.86856,0.57766,1.10935,0.75258,1.14879,0.0005348,0.0005348,0.0005348
