epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7783,1.57276,2.20144,1.38485,0.66884,0.50913,0.54375,0.31174,1.5833,1.41884,1.41839,0.000551074,0.000551074,0.000551074
2,165.041,1.4583,1.35862,1.32435,0.63039,0.54819,0.5755,0.34203,1.46459,1.39532,1.3711,0.00105196,0.00105196,0.00105196
3,242.956,1.48916,1.30678,1.32386,0.67126,0.39066,0.44922,0.24924,1.64604,1.90781,1.4821,0.00149783,0.00149783,0.00149783
4,324.123,1.43622,1.2496,1.30954,0.73298,0.56675,0.60413,0.35475,1.44886,1.29349,1.35569,0.00141945,0.00141945,0.00141945
5,454.86,1.38912,1.1997,1.26551,0.67762,0.54679,0.5608,0.33051,1.52342,1.30629,1.41054,0.00133693,0.00133693,0.00133693
6,531.655,1.33802,1.17194,1.24904,0.69328,0.51903,0.57263,0.35827,1.41137,1.26708,1.36506,0.00125442,0.00125442,0.00125442
7,611.292,1.30069,1.10567,1.23027,0.81127,0.62109,0.677,0.42154,1.33031,1.05713,1.24265,0.0011719,0.0011719,0.0011719
8,689.273,1.26868,1.03184,1.20316,0.79118,0.67323,0.71151,0.45281,1.22099,0.9966,1.19417,0.00108938,0.00108938,0.00108938
9,768.619,1.23063,0.99064,1.18433,0.8406,0.67412,0.72442,0.47223,1.20666,0.86936,1.18306,0.00100687,0.00100687,0.00100687
10,846.622,1.19962,0.97782,1.16953,0.81843,0.67164,0.72287,0.47114,1.16502,0.89988,1.14887,0.000924352,0.000924352,0.000924352
11,923.233,1.13794,0.90539,1.13978,0.85968,0.64548,0.71493,0.47408,1.20098,0.8948,1.166,0.000841835,0.000841835,0.000841835
12,1002.22,1.11063,0.8309,1.12765,0.84533,0.67817,0.74225,0.49854,1.13432,0.82824,1.13305,0.000759318,0.000759318,0.000759318
13,1079.56,1.08675,0.7837,1.11069,0.84919,0.69154,0.74856,0.50412,1.10576,0.80475,1.11053,0.000676802,0.000676802,0.000676802
14,1157.06,1.04066,0.75627,1.08793,0.88744,0.68158,0.75249,0.51883,1.08433,0.76269,1.10392,0.000594286,0.000594286,0.000594286
15,1234.11,1.01256,0.71482,1.07442,0.87096,0.69363,0.75546,0.52121,1.07655,0.75923,1.11065,0.000511769,0.000511769,0.000511769
16,1311.36,0.98941,0.68249,1.06775,0.89756,0.69865,0.76478,0.53268,1.0548,0.70451,1.08872,0.000429253,0.000429253,0.000429253
17,1387.77,0.96064,0.66332,1.05242,0.88719,0.71677,0.78042,0.55511,1.03025,0.66387,1.08124,0.000346736,0.000346736,0.000346736
18,1464.04,0.95157,0.64394,1.03967,0.89162,0.71499,0.77465,0.54892,1.0121,0.66609,1.07092,0.00026422,0.00026422,0.00026422
19,1582.74,0.92971,0.62049,1.03573,0.89244,0.72754,0.78341,0.55873,0.98117,0.62951,1.05397,0.000181703,0.000181703,0.000181703
20,1654.58,0.91341,0.59782,1.03071,0.89411,0.73245,0.79249,0.56196,0.97823,0.61843,1.05347,9.91865e-05,9.91865e-05,9.91865e-05
